"unitid","institution name","year","DRVEF2024.Total  enrollment","DRVEF2024.Full-time equivalent fall enrollment","DRVEF2024.Full-time enrollment","DRVEF2024.Part-time enrollment","DRVEF2024.Undergraduate enrollment","DRVEF2024.First-time degree/certificate-seeking undergraduate enrollment","DRVEF2024.Transfer-in degree/certificate-seeking undergraduate enrollment","DRVEF2024.Continuing degree/certificate-seeking undergraduate enrollment","DRVEF2024.Nondegree/certificate-seeking undergraduate enrollment","DRVEF2024.Full-time undergraduate enrollment","DRVEF2024.Part-time undergraduate enrollment","DRVEF2024.Percent of undergraduate enrollment that are White","DRVEF2024.Percent of undergraduate enrollment that are Black or African American","DRVEF2024.Percent of undergraduate enrollment that are Hispanic/Latino","DRVEF2024.Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2024.Percent of undergraduate enrollment that are Asian","DRVEF2024.Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2024.Percent of undergraduate enrollment that are American Indian or Alaska Native","DRVEF2024.Percent of undergraduate enrollment that are two or more races","DRVEF2024.Percent of undergraduate enrollment that are Race/ethnicity unknown","DRVEF2024.Percent of undergraduate enrollment that are U.S. Nonresident","DRVEF2024.Percent of undergraduate enrollment that are women","DRVEF2024.Graduate enrollment","DRVEF2024.Full-time graduate enrollment","DRVEF2024.Part-time graduate enrollment","DRVEF2024.Percent of graduate enrollment that are White","DRVEF2024.Percent of graduate enrollment that are Black or African American","DRVEF2024.Percent of graduate enrollment that are Hispanic/Latino","DRVEF2024.Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2024.Percent of graduate enrollment that are Asian","DRVEF2024.Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2024.Percent of graduate enrollment that are American Indian or Alaska Native","DRVEF2024.Percent of graduate enrollment that are two or more races","DRVEF2024.Percent of graduate enrollment that are Race/ethnicity unknown","DRVEF2024.Percent of graduate enrollment that are U.S. Nonresident","DRVEF2024.Percent of graduate enrollment that are women","DRVEF2024.Percent of undergraduate students enrolled exclusively in distance education courses","DRVEF2024.Percent of undergraduate students enrolled in some but not all distance education courses","DRVEF2024.Percent of undergraduate students not enrolled in any distance education courses","DRVEF2024.Percent of graduate students enrolled exclusively in distance education courses","DRVEF2024.Percent of graduate students enrolled in some but not all distance education courses","DRVEF2024.Percent of graduate students not enrolled in any distance education courses"
"110635","University of California-Berkeley","2024","45882","43313","41759","4123","33070","6272","2725","24071","2","31576","1494","20","2","22","36","35","0","0","7","4","10","56","12812","10183","2629","28","4","10","20","20","0","0","5","2","31","49","0","19","81","14","13","74"
"110644","University of California-Davis","2024","40065","39245","38728","1337","32273","6767","2656","22830","20","31484","789","20","2","25","32","31","0","0","7","2","13","59","7792","7244","548","33","4","15","17","17","0","1","6","2","24","56","0","12","87","4","4","92"
"110653","University of California-Irvine","2024","37297","36631","36211","1086","30204","6736","2728","20733","7","29559","645","13","2","27","38","37","0","0","6","2","12","56","7093","6652","441","23","3","15","22","22","0","0","4","3","30","51","1","41","58","4","9","88"
"110662","University of California-Los Angeles","2024","47335","46149","45444","1891","33475","6610","3834","23031","0","32972","503","24","3","24","30","30","0","0","8","3","8","60","13860","12472","1388","27","4","15","19","19","0","0","4","3","27","48","0","15","85","5","4","90"
"110671","University of California-Riverside","2024","26384","25902","25595","789","22600","5422","1269","15902","7","22095","505","10","4","40","36","36","0","0","5","2","4","53","3784","3500","284","20","3","18","15","15","0","0","2","2","39","45","1","41","58","3","2","95"
"110680","University of California-San Diego","2024","44256","43235","42601","1655","34955","7330","3751","23867","7","34114","841","17","2","27","35","35","0","0","6","2","11","55","9301","8487","814","20","2","9","17","17","0","0","4","3","44","44","0","20","80","1","6","92"
"110699","University of California-San Francisco","2024","3007","3007","3007","0","0","0","0","0","0","0","0",,,,,,,,,,,,"3007","3007","0","24","7","15","33","33","0","0","6","4","11","63",,,,"0","28","72"
"110705","University of California-Santa Barbara","2024","26133","25659","25357","776","23181","5008","2109","15996","68","22674","507","32","2","27","18","18","0","0","9","3","9","58","2952","2683","269","34","4","12","13","13","0","0","1","1","35","48","0","5","95","0","1","99"
"110714","University of California-Santa Cruz","2024","19938","19592","19362","576","17940","4383","1277","12280","0","17414","526","31","2","29","24","24","0","0","9","2","3","53","1998","1948","50","33","2","14","12","12","0","0","4","3","32","46","1","28","71","0","1","99"
"445188","University of California-Merced","2024","9110","9022","8964","146","8372","2093","225","6054","0","8236","136","9","5","55","24","24","0","0","5","1","1","45","738","728","10","19","3","20","11","11","0","0","3","3","40","43","0","11","89","0","0","100"
